Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"C1",.47u,C0805,C0805C474K5RACTU,Kemet,DK,399-8100-1-ND,CAP CER 0.47UF 50V X7R 0805,REF19
2,"C5, C6",0.1u,C0805,08055C104KAT2A,AVX,DK,478-1395-1-ND,CAP CER 0.1UF 50V X7R 0805,REF20
1,"D2",1SMB16CAT3G,SMB-DIODE,1SMB16CAT3G,ON Semiconductor,DK,1SMB16CAT3GOSCT-ND,TVS DIODE 16VWM 26VC SMB,REF1
1,"C7",1u,C0805,CC0805KKX7R7BB105,Yageo,DK,311-1365-1-ND,CAP CER 1UF 16V X7R 0805,REF26
1,"R2",10k,R0805,ERJ-6ENF1002V,Panasonic Electronic Components,DK,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,REF38
1,"C2",10u,C0805,GRM21BR6YA106KE43L,Murata ,DK,490-10514-1-ND,CAP CER 10UF 35V X5R 0805,REF27
1,"C3",22u,C0805,GRM219R61A226MEA0D,Murata ,DK,490-9951-1-ND,CAP CER 22UF 10V X5R 0805,REF21
1,"R1",62k,R0805,ERJ-6ENF6202V,Panasonic Electronic Components,DK,P62.0KCCT-ND,RES SMD 62K OHM 1% 1/8W 0805,REF37
1,"D4",BAT54S,SOT23,BAT54S-7-F,Diodes Incorporated,DK,BAT54S-FDICT-ND,DIODE ARRAY SCHOTTKY 30V SOT23-3,REF36
1,"C4",DNP,C0805,GRM219R61A226MEA0D,Murata ,DK,490-9951-1-ND,CAP CER 22UF 10V X5R 0805,REF21
1,"ELECTRON",ELECTRON_WITH_EXTERNAL_HEADERS,ELECTRON_EXTERNAL,PPTC181LFBN-RC,Sullins Connector Solutions,DK,S7016-ND,CONN HEADER FEMALE 18POS.1"" TIN,REF23
1,"GPS",JST,JST-6-SMD-VERT-1.0MM,BM06B-SRSS-TB,JST,DK,455-1792-1-ND,CONN HEADER SH 6POS TOP 1MM TIN,REF25
1,"IC1",NCP1117CORRECT,SOT223,NCP1117LPST50T3G,ON Semiconductor,DK,NCP1117LPST50T3GOSCT-ND,IC REG LDO 5V 1A SOT223,REF28
1,"J1",OBDII,OBDII-COMTECH,OBD-II,COMTECH,SF,DEV-09911,OBD-II connector Straight,REF6
1,"D1",PESD1CAN,SOT23,PESD1CAN-215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
1,"D3",RS1J,SMA-DIODE,RS1J-E3/5AT,Vishay,DK,RS1J-E3/5ATGICT-ND,DIODE GEN PURP 600V 1A DO214AC,REF3
1,"IC2",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
1,"SDCARD",USD-SOCKETMOLEX-CORRECT,MICRO-SD-MOLEX-CORRECT,1040310811,Molex,DK,WM6357CT-ND,CONN MICRO SD CARD PUSH-PULL R/A,REF24
