Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
1SMB16CAT3GOSCT-ND,ON Semiconductor,1SMB16CAT3G,R31-D2,1,
478-1395-1-ND,AVX,08055C104KAT2A,R31-C5/C6,2,
WM6357CT-ND,Molex,1040310811,R31-SDCARD,1,
BAT54S-FDICT-ND,Diodes Incorporated,BAT54S-7-F,R31-D4,1,
455-1792-1-ND,JST,BM06B-SRSS-TB,R31-GPS,1,
399-8100-1-ND,Kemet,C0805C474K5RACTU,R31-C1,1,
311-1365-1-ND,Yageo,CC0805KKX7R7BB105,R31-C7,1,
P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V,R31-R2,1,
P62.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF6202V,R31-R1,1,
490-10514-1-ND,Murata ,GRM21BR6YA106KE43L,R31-C2,1,
490-9951-1-ND,Murata ,GRM219R61A226MEA0D,R31-C3/C4,2,
NCP1117LPST50T3GOSCT-ND,ON Semiconductor,NCP1117LPST50T3G,R31-IC1,1,
568-4032-1-ND,NXP Semiconductors,PESD1CAN-215,R31-D1,1,
S7016-ND,Sullins Connector Solutions,PPTC181LFBN-RC,R31-ELECTRON,1,
RS1J-E3/5ATGICT-ND,Vishay,RS1J-E3/5AT,R31-D3,1,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,R31-IC2,1,
