Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"C1",.47u,C0805,C0805C474K5RACTU,Kemet,DK,399-8100-1-ND,CAP CER 0.47UF 50V X7R 0805,REF19
2,"C2, C5",0.1u,C0805,08055C104KAT2A,AVX,DK,478-1395-1-ND,CAP CER 0.1UF 50V X7R 0805,REF20
1,"C4",3.3u,C0805,C0805C335K8PACTU,Kemet,DK,399-3129-1-ND,CAP CER 3.3UF 10V X5R 0805,REF22
1,"C3",22u,C0805,GRM219R61A226MEA0D,Murata ,DK,490-9951-1-ND,CAP CER 22UF 10V X5R 0805,REF21
1,"GPS",JST_VERTICALHORIZONTAL,JST-6-SMD-HOR-1.0MM,JST-6-HOR,Sparkfun,SF,PRT-10210,JST SH Horizontal 6-Pin Connector - SMD,REF18
1,"IC1",LM2940,SOT223,LM2940IMP-5.0/NOPB,Texas Instruments,DK,LM2940IMP-5.0/NOPBCT-ND,IC REG LDO 5V 1A SOT223,REF17
1,"J1",OBDII,OBDII-STRAIGHT,OBD-II,COMTECH,SF,DEV-09911,OBD-II connector Straight,REF6
1,"D1",PESD1CAN,SOT23,PESD1CAN-215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
1,"CORE",PHOTONWITH_EXTERNAL_HEADERS,PHOTON_STACKABLE_EXTERNAL,PPPC122LFBN-RC,Sullins Connector Solutions,DK,S7115-ND,Connector Header 24 Position 0.100"" (2.54mm) Gold Through Hole,REF8
1,"IC2",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
