Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"J2",,SCREWTERMINAL-3.5MM-4,OSTTE040104,On Shore Technology Inc.,DK,ED2742-ND,TERMINAL BLOCK 3.5MM 4POS PCB,REF70
3,"C6, C7, C8",0.1uF,C0603,CC0603JRX7R7BB104,Yageo,DK,311-1776-1-ND,CAP CER 0.1UF 16V X7R 0603,REF12
1,"D2",1SMB16CAT3G,SMB-DIODE,1SMB16CAT3G,ON Semiconductor,DK,1SMB16CAT3GOSCT-ND,TVS DIODE 16VWM 26VC SMB,REF1
1,"R2",10k,R0603,ERA-3AED103V,Panasonic Electronic Components,DK,P123734CT-ND,RES SMD 10K OHM 0.5% 1/10W 0603,REF92
1,"C2",10nF,C0603,CGA3E2X8R1H103K080AA,TDK Corporation,DK,445-5892-1-ND,CAP CER 10000PF 50V X8R 0603,REF88
3,"C1, C11, C12",10uF,C1206,C3216X7R1E106K160AB,TDK Corporation,DK,445-7705-1-ND,CAP CER 10UF 25V X7R 1206,REF87
1,"L1",15uH,NR8040,NR8040T150M,Taiyo-Yuden,DK,587-2643-1-ND,FIXED IND 15UH 2.4A 65 MOHM SMD,REF46
1,"R4",17.4k,R0603,ERJ-3EKF1742V,Panasonic Electronic Components,DK,P17.4KHCT-ND,RES SMD 17.4K OHM 1% 1/10W 0603,REF93
2,"C4, C5",22pF,C0603,CC0603KRX7R9BB223,Yageo,DK,311-1370-1-ND,CAP CER 0.022UF 50V X7R 0603,REF13
1,"C3",22uF,C1206,CL31X226KAHN3NE,Samsung Electro-Mechanics,DK,1276-3299-1-ND,CAP CER 22UF 25V X6S 1206,REF89
1,"Q1",40MHz,CRYSTAL-SMD-5X3,ECS-400-12-30B-AGM-TR,ECS Inc.,DK,XC2600CT-ND,CRYSTAL 40MHZ 12PF SMD,REF84
1,"R1",62k,R0603,ERA-3AEB623V,Panasonic Electronic Components,DK,P62KDBCT-ND,RES SMD 62K OHM 0.1% 1/10W 0603,REF90
1,"R3",91k,R0603,ERA-3ARB913V,Panasonic Electronic Components,DK,P91KBDCT-ND,RES SMD 91K OHM 0.1% 1/10W 0603,REF91
1,"IC2",AZ1117E,SOT223,AZ1117EH-3.3TRG1,Diodes Incorporated,DK,AZ1117EH-3.3TRG1DICT-ND,IC REG LINEAR 3.3V 1A SOT223,REF81
1,"D3",B230A,DO-214AA,B230A-13-F,Diodes-Incorporated,DK,B230A-FDICT-ND,DIODE SCHOTTKY 30V 2A SMA,REF43
1,"HEADER24",BOM-PART,*,NPPC122KFMS-RC,Sullins Connector Solutions,DK,S5721-ND,CONN FMALE 24POS DL .1"" GOLD SMD,REF85
1,"HEADER30",BOM-PART,*,NPTC152KFMS-RC,Sullins Connector Solutions,DK,S5685-ND,CONN FEMALE 30POS DL .1"" TIN SMD,REF86
2,"D4, D5",MBRA140,SMA-DIODE,MBRA140T3G,ON Semiconductor,DK,MBRA140T3GOSCT-ND,DIODE SCHOTTKY 40V 1A SMA,REF80
1,"IC4",MCP2517FD,SOIC-14,MCP2517FD-H/SL,Microchip Technology,DK,MCP2517FD-H/SL-ND,STAND-ALONE CAN FD CONTROLLER W/,REF82
1,"J1",OBDII,OBDII-COMTECH,OBD-II,COMTECH,SF,DEV-09911,OBD-II connector Straight,REF6
1,"D1",PESD1CAN,SOT23,PESD1CAN-215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
1,"IC1",RT8258,SOT-23-6,RT8258GJ6,Richtek,DK,1028-1044-1-ND,IC REG BUCK ADJ 1.2A TSOT23-6,REF47
1,"IC3",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
