Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
1SMB16CAT3GOSCT-ND,ON Semiconductor,1SMB16CAT3G,D2,1,
AZ1117EH-3.3TRG1DICT-ND,Diodes Incorporated,AZ1117EH-3.3TRG1,IC2,1,
B230A-FDICT-ND,Diodes-Incorporated,B230A-13-F,D3,1,
445-7705-1-ND,TDK Corporation,C3216X7R1E106K160AB,C1/C11/C12,3,
311-1776-1-ND,Yageo,CC0603JRX7R7BB104,C6/C7/C8,3,
311-1370-1-ND,Yageo,CC0603KRX7R9BB223,C4/C5,2,
445-5892-1-ND,TDK Corporation,CGA3E2X8R1H103K080AA,C2,1,
1276-3299-1-ND,Samsung Electro-Mechanics,CL31X226KAHN3NE,C3,1,
XC2600CT-ND,ECS Inc.,ECS-400-12-30B-AGM-TR,Q1,1,
P62KDBCT-ND,Panasonic Electronic Components,ERA-3AEB623V,R1,1,
P123734CT-ND,Panasonic Electronic Components,ERA-3AED103V,R2,1,
P91KBDCT-ND,Panasonic Electronic Components,ERA-3ARB913V,R3,1,
P17.4KHCT-ND,Panasonic Electronic Components,ERJ-3EKF1742V,R4,1,
MBRA140T3GOSCT-ND,ON Semiconductor,MBRA140T3G,D4/D5,2,
MCP2517FD-H/SL-ND,Microchip Technology,MCP2517FD-H/SL,IC4,1,
S5721-ND,Sullins Connector Solutions,NPPC122KFMS-RC,HEADER24,1,
S5685-ND,Sullins Connector Solutions,NPTC152KFMS-RC,HEADER30,1,
587-2643-1-ND,Taiyo-Yuden,NR8040T150M,L1,1,
ED2742-ND,On Shore Technology Inc.,OSTTE040104,J2,1,
568-4032-1-ND,NXP Semiconductors,PESD1CAN-215,D1,1,
1028-1044-1-ND,Richtek,RT8258GJ6,IC1,1,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,IC3,1,
